Title,Genre,Premiere,Runtime,IMDB Score,Language,release_year,month,duration_min
"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86,6.7,English,2019,November,86
Blame!,Anime/Science fiction,2017-05-20,106,6.7,Japanese,2017,May,106
Blue Miracle,Drama,2021-05-27,95,6.7,English,2021,May,95
CounterPunch ,Documentary,2017-06-16,91,6.7,English,2017,June,91
"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89,6.7,English,2021,January,89
Extraction,Action,2020-04-24,117,6.7,English,2020,April,117
Giving Voice,Documentary,2020-12-11,90,6.7,English,2020,December,90
Hillbilly Elegy,Drama,2020-11-24,117,6.7,English,2020,November,117
Hope Frozen: A Quest to Live Twice,Documentary,2020-09-15,80,6.7,Thia/English,2020,September,80
Imperial Dreams,Drama,2017-02-03,87,6.7,English,2017,February,87
Just Another Christmas,Comedy,2020-12-03,101,6.7,Portuguese,2020,December,101
Little Miss Sumo,Documentary,2019-10-28,19,6.7,Japanese,2019,October,19
Malcolm & Marie,Romantic drama,2021-02-05,106,6.7,English,2021,February,106
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2017-02-07,54,6.7,English,2017,February,54
Moxie,Drama,2021-03-03,111,6.7,English,2021,March,111
Night in Paradise,Drama,2021-04-09,132,6.7,Korean,2021,April,132
Paper Lives,Drama,2021-03-12,97,6.7,Turkish,2021,March,97
Parchis: The Documentary,Documentary,2019-07-10,106,6.7,Spanish,2019,July,106
Tallulah,Comedy-drama,2016-07-29,111,6.7,English,2016,July,111
The Old Guard,Superhero/Action,2020-07-10,124,6.7,English,2020,July,124
Upstarts,Drama,2019-10-18,112,6.7,Hindi,2019,October,112
22 July,Drama,2018-10-10,144,6.8,English,2018,October,144
7 años,Drama,2016-10-28,76,6.8,Spanish,2016,October,76
A Futile and Stupid Gesture,Biographical/Comedy,2018-01-26,101,6.8,English,2018,January,101
A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020-03-20,92,6.8,Spanish,2020,March,92
A Love Song for Latasha,Documentary,2020-09-21,19,6.8,English,2020,September,19
All in My Family,Documentary,2019-05-03,39,6.8,English/Mandarin,2019,May,39
Always Be My Maybe,Romantic comedy,2019-05-31,102,6.8,English,2019,May,102
Becoming,Documentary,2020-05-06,89,6.8,English,2020,May,89
Long Live Brij Mohan,Comedy,2018-08-03,105,6.8,Hindi,2018,August,105
Calibre,Thriller,2018-06-29,101,6.8,English,2018,June,101
Death to 2020,Comedy,2020-12-27,70,6.8,English,2020,December,70
GIMS: On the Record,Documentary,2020-09-17,96,6.8,French,2020,September,96
Have a Good Trip: Adventures in Psychedelics,Documentary,2020-05-11,85,6.8,English,2020,May,85
Heroin(e) ,Documentary,2017-09-12,39,6.8,English,2017,September,39
Mercury 13,Documentary,2018-04-20,79,6.8,English,2018,April,79
Saving Capitalism,Documentary,2017-11-21,73,6.8,English,2017,November,73
Serious Men,Drama,2020-10-02,114,6.8,Hindi,2020,October,114
The Boys in the Band,Drama,2020-09-30,121,6.8,English,2020,September,121
The Boys in the Band: Something Personal,Aftershow / Interview,2020-09-30,28,6.8,English,2020,September,28
The Life Ahead,Drama,2020-11-13,95,6.8,Italian,2020,November,95
The Other Side of the Wind,Drama,2018-11-02,122,6.8,English,2018,November,122
The Trader,Documentary,2018-02-09,23,6.8,Georgian,2018,February,23
To the Bone,Drama,2017-07-14,107,6.8,English,2017,July,107
Tony Parker: The Final Shot,Documentary,2021-01-06,98,6.8,French,2021,January,98
AK vs AK,Thriller,2020-12-24,108,6.9,Hindi,2020,December,108
Amanda Knox,Documentary,2016-09-30,92,6.9,English,2016,September,92
Bigflo & Oil: Hip Hop Frenzy,Documentary,2020-10-08,100,6.9,French,2020,October,100
Biggie: I Got a Story to Tell,Documentary,2021-03-01,97,6.9,English,2021,March,97
Cops and Robbers,Animation / Short,2020-12-28,7,6.9,English,2020,December,7
I Don't Feel at Home in This World Anymore,Drama,2017-02-24,96,6.9,English,2017,February,96
Laerte-se,Documentary,2017-05-19,100,6.9,Portuguese,2017,May,100
Mank,Biopic,2020-12-04,132,6.9,English,2020,December,132
Our Souls at Night,Romance,2017-09-29,103,6.9,English,2017,September,103
Outlaw King,Historical-epic,2018-11-09,121,6.9,English,2018,November,121
Pagglait,Comedy-drama,2021-03-26,114,6.9,Hindi,2021,March,114
ReMastered: Who Shot the Sheriff?,Documentary,2018-10-12,57,6.9,English,2018,October,57
Seeing Allred,Documentary,2018-02-09,95,6.9,English,2018,February,95
Spelling the Dream,Documentary,2020-06-03,83,6.9,English,2020,June,83
The Claudia Kishi Club,Documentary,2020-07-10,17,6.9,English,2020,July,17
The Half of It,Romance,2020-05-01,105,6.9,English,2020,May,105
The Highwaymen,Crime drama,2019-03-29,131,6.9,English,2019,March,131
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,2019-05-23,30,6.9,English,2019,May,30
The Meyerowitz Stories (New and Selected),Comedy-drama,2017-10-13,112,6.9,English,2017,October,112
Feminists: What Were They Thinking?,Documentary,2018-10-12,86,7.0,English,2018,October,86
Gaga: Five Foot Two,Documentary,2017-09-22,100,7.0,English,2017,September,100
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,2020-11-03,14,7.0,English,2020,November,14
Kingdom of Us,Documentary,2017-10-13,109,7.0,English,2017,October,109
"Lorena, Light-Footed Woman",Documentary,2019-11-20,28,7.0,Spanish,2019,November,28
Los Tigres del Norte at Folsom Prison,Documentary,2019-09-15,64,7.0,Spanish,2019,September,64
Ma Rainey's Black Bottom,Drama,2020-12-18,94,7.0,English,2020,December,94
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,2020-12-18,31,7.0,English,2020,December,31
Operation Varsity Blues: The College Admissions Scandal,Documentary,2021-03-17,99,7.0,English,2021,March,99
Pele,Documentary,2021-02-23,108,7.0,English,2021,February,108
ReMastered: Devil at the Crossroads,Documentary,2019-04-26,48,7.0,English,2019,April,48
ReMastered: The Lion's Share,Documentary,2019-05-17,84,7.0,English,2019,May,84
ReMastered: The Miami Showband Massacre,Documentary,2019-03-22,70,7.0,English,2019,March,70
Resurface,Documentary,2017-09-01,27,7.0,English,2017,September,27
Rocko's Modern Life: Static Cling,Animation / Comedy,2019-08-09,45,7.0,English,2019,August,45
Rose Island,Comedy,2020-12-09,117,7.0,Italian,2020,December,117
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,2018-11-22,104,7.0,English,2018,November,104
The Dirt,Biopic,2019-03-22,108,7.0,English,2019,March,108
The Night Comes for Us,Action-thriller,2018-10-19,121,7.0,Indonesian,2018,October,121
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,2017-01-26,36,7.1,English,2017,January,36
Angela's Christmas,Animation,2018-11-30,30,7.1,English,2018,November,30
Angela's Christmas Wish,Animation,2020-12-01,47,7.1,English,2020,December,47
Beats,Drama,2019-06-19,110,7.1,English,2019,June,110
Circus of Books,Documentary,2020-04-22,92,7.1,English,2020,April,92
Dance Dreams: Hot Chocolate Nutcracker,Documentary,2020-11-27,80,7.1,English,2020,November,80
Derren Brown: Sacrifice,Mentalism special,2018-10-19,49,7.1,English,2018,October,49
El Pepe: A Supreme Life,Documentary,2019-12-27,73,7.1,Spanish,2019,December,73
End Game,Documentary,2018-05-04,40,7.1,English,2018,May,40
Evelyn,Documentary,2019-09-10,96,7.1,English,2019,September,96
Ferry,Crime drama,2021-05-14,106,7.1,Dutch,2021,May,106
Grass Is Greener,Documentary,2019-04-20,97,7.1,English,2019,April,97
Guillermo Vilas: Settling the Score,Documentary,2020-10-27,94,7.1,Spanish,2020,October,94
Joshua: Teenager vs. Superpower,Documentary,2017-05-26,78,7.1,English,2017,May,78
Keith Richards: Under the Influence,Documentary,2015-09-18,81,7.1,English,2015,September,81
Knock Down the House,Documentary,2019-05-01,87,7.1,English,2019,May,87
Loudon Wainwright III: Surviving Twin,One-man show,2018-11-13,91,7.1,English,2018,November,91
My Beautiful Broken Brain,Documentary,2016-03-18,91,7.1,English,2016,March,91
One of Us,Documentary,2017-10-20,95,7.1,English,2017,October,95
Pieces of a Woman,Drama,2021-01-07,126,7.1,English,2021,January,126
"Ram Dass, Going Home",Documentary,2018-04-06,31,7.1,English,2018,April,31
ReMastered: Tricky Dick & the Man in Black,Documentary,2018-11-02,58,7.1,English,2018,November,58
Rooting for Roona,Documentary,2020-10-15,41,7.1,Bengali,2020,October,41
The Devil All the Time,Psychological thriller,2020-09-16,138,7.1,English,2020,September,138
The Dig,Drama,2021-01-29,112,7.1,English,2021,January,112
The Great Hack,Documentary,2019-07-24,114,7.1,English,2019,July,114
The White Tiger,Drama,2021-01-22,125,7.1,English,2021,January,125
To All the Boys I've Loved Before,Romantic comedy,2018-08-17,99,7.1,English,2018,August,99
American Murder: The Family Next Door,Documentary,2020-09-30,82,7.2,English,2020,September,82
Audrie & Daisy,Documentary,2016-09-23,98,7.2,English,2016,September,98
First They Killed My Father,Drama,2017-09-15,136,7.2,Khmer/English/French,2017,September,136
Fyre: The Greatest Party That Never Happened,Documentary,2019-01-18,97,7.2,English,2019,January,97
Into the Inferno,Documentary,2016-10-28,107,7.2,English,2016,October,107
LA Originals,Documentary,2020-04-10,92,7.2,English,2020,April,92
Ladies First,Documentary,2018-03-08,39,7.2,English/Hindi,2018,March,39
Love per Square Foot,Romantic comedy,2018-02-14,133,7.2,Hindi,2018,February,133
Paddleton,Drama-Comedy,2019-02-22,89,7.2,English,2019,February,89
Private Life,Drama,2018-10-05,124,7.2,English,2018,October,124
Seventeen,Coming-of-age comedy-drama,2019-10-18,99,7.2,Spanish,2019,October,99
Sometimes,Drama,2018-05-01,101,7.2,Tamil,2018,May,101
Soni,Crime drama,2019-01-18,97,7.2,Hindi,2019,January,97
The 40-Year-Old Version,Comedy,2020-10-09,124,7.2,English,2020,October,124
The Disciple,Drama,2021-04-30,129,7.2,Marathi,2021,April,129
The Edge of Democracy,Documentary,2019-06-19,121,7.2,Portuguese,2019,June,121
The King,Historical drama,2019-11-01,140,7.2,English,2019,November,140
The Road to El Camino: A Breaking Bad Movie,Making-of,2019-10-29,13,7.2,English,2019,October,13
The Siege of Jadotville,War,2016-10-07,108,7.2,English,2016,October,108
Zion ,Documentary,2018-08-10,11,7.2,English,2018,August,11
Dolemite Is My Name,Biopic,2019-10-25,118,7.3,English,2019,October,118
El Camino: A Breaking Bad Movie,Crime drama,2019-10-11,121,7.3,English,2019,October,121
Extremis,Documentary,2016-09-13,24,7.3,English,2016,September,24
Father Soldier Son,Documentary,2020-07-17,100,7.3,English,2020,July,100
Get Me Roger Stone,Documentary,2017-05-12,101,7.3,English,2017,May,101
I'm No Longer Here,Drama,2020-05-27,105,7.3,Spanish,2020,May,105
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,2020-07-08,96,7.3,Spanish/English,2020,July,96
Octonauts & the Great Barrier Reef,Animation,2020-10-13,47,7.3,English,2020,October,47
Okja,Action-adventure,2017-06-28,121,7.3,English/Korean,2017,June,121
On My Skin,Crime drama,2018-09-12,100,7.3,Italian,2018,September,100
Raat Akeli Hai,Thriller,2020-07-31,149,7.3,Hindi,2020,July,149
ReMastered: Massacre at the Stadium,Documentary,2019-01-11,64,7.3,English/Spanish,2019,January,64
ReMastered: The Two Killings of Sam Cooke,Documentary,2019-02-08,64,7.3,English,2019,February,64
Secrets of the Saqqara Tomb,Documentary,2020-10-28,114,7.3,English/Arabic,2020,October,114
Sitara: Let Girls Dream,Animation / Short,2020-03-08,15,7.3,English,2020,March,15
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016-10-14,79,7.3,English/Mandarin,2016,October,79
Team Foxcatcher,Documentary,2016-04-29,90,7.3,English/Russian,2016,April,90
The Ballad of Buster Scruggs,Western,2018-11-16,132,7.3,English,2018,November,132
The Death and Life of Marsha P. Johnson,Documentary,2017-10-06,105,7.3,English,2017,October,105
The Fundamentals of Caring,Comedy-drama,2016-06-24,97,7.3,English,2016,June,97
The Other One: The Long Strange Trip of Bob Weir,Documentary,2015-05-22,83,7.3,English,2015,May,83
American Factory,Documentary,2019-08-21,110,7.4,English,2019,August,110
Fire in Paradise,Documentary,2019-11-01,39,7.4,English,2019,November,39
Long Shot,Documentary,2017-09-29,40,7.4,English,2017,September,40
Miss Americana,Documentary,2020-01-31,85,7.4,English,2020,January,85
Period. End of Sentence.,Documentary,2019-02-12,26,7.4,English/Hindi,2019,February,26
Shawn Mendes: Live in Concert,Concert Film,2020-11-25,87,7.4,English,2020,November,87
Shirkers,Documentary,2018-10-26,97,7.4,English,2018,October,97
The Black Godfather,Documentary,2019-06-07,118,7.4,English,2019,June,118
The Irishman: In Conversation,Aftershow / Interview,2019-11-27,23,7.4,English,2019,November,23
The Speed Cubers,Documentary,2020-07-29,40,7.4,English,2020,July,40
They'll Love Me When I'm Dead,Documentary,2018-11-02,98,7.4,English,2018,November,98
Tig,Documentary,2015-07-17,80,7.4,English,2015,July,80
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,2017-11-22,108,7.5,English,2017,November,108
Blackpink: Light Up the Sky,Documentary,2020-10-14,79,7.5,Korean,2020,October,79
City of Joy,Documentary,2018-09-07,74,7.5,English,2018,September,74
Dick Johnson Is Dead,Documentary,2020-10-02,90,7.5,English,2020,October,90
Homecoming: A Film by Beyonce ,Documentary,2019-04-17,137,7.5,English,2019,April,137
Invader Zim: Enter the Florpus,Animation / Science Fiction,2019-08-16,71,7.5,English,2019,August,71
John Mulaney & the Sack Lunch Bunch,Variety show,2019-12-24,70,7.5,English,2019,December,70
Reversing Roe,Documentary,2018-09-13,99,7.5,English,2018,September,99
Athlete A,Documentary,2020-06-24,104,7.6,English,2020,June,104
Ludo,Anthology/Dark comedy,2020-11-12,149,7.6,Hindi,2020,November,149
Quincy,Documentary,2018-09-21,124,7.6,English,2018,September,124
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019-06-12,144,7.6,English,2019,June,144
Tell Me Who I Am,Documentary,2019-10-18,85,7.6,English,2019,October,85
The Bleeding Edge,Documentary,2018-07-27,100,7.6,English,2018,July,100
The Social Dilemma,Documentary,2020-09-09,94,7.6,English,2020,September,94
The Two Popes,Drama,2019-12-20,125,7.6,English,2019,December,125
"What Happened, Miss Simone?",Documentary,2015-06-26,84,7.6,English,2015,June,84
Yeh Ballet,Drama,2020-02-21,117,7.6,Hindi,2020,February,117
Anima,Musical / Short,2019-06-27,15,7.7,English,2019,June,15
Beasts of No Nation,War drama,2015-10-16,136,7.7,English/Akan,2015,October,136
Brene Brown: The Call to Courage,Documentary,2019-04-19,76,7.7,English,2019,April,76
Crip Camp: A Disability Revolution,Documentary,2020-03-25,108,7.7,English,2020,March,108
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,2017-11-17,94,7.7,English,2017,November,94
Justin Timberlake + The Tennessee Kids,Concert Film,2016-10-12,90,7.7,English,2016,October,90
Road to Roma,Making-of,2020-02-11,72,7.7,Spanish,2020,February,72
Roma,Drama,2018-12-14,135,7.7,Spanish,2018,December,135
If Anything Happens I Love You,Animation / Short,2020-11-20,12,7.8,English,2020,November,12
The Irishman,Crime drama,2019-11-27,209,7.8,English,2019,November,209
The Trial of the Chicago 7,Drama,2020-10-16,130,7.8,English,2020,October,130
A Secret Love,Documentary,2020-04-29,82,7.9,English,2020,April,82
Icarus,Documentary,2017-08-04,120,7.9,English,2017,August,120
Marriage Story,Drama,2019-12-06,136,7.9,English,2019,December,136
The Ivory Game,Documentary,2016-11-04,112,7.9,English,2016,November,112
Struggle: The Life and Lost Art of Szukaiski,Documentary,2018-12-21,105,8.0,English,2018,December,105
Chasing Coral ,Documentary,2017-07-14,89,8.1,English,2017,July,89
My Octopus Teacher,Documentary,2020-09-07,85,8.1,English,2020,September,85
Rising Phoenix,Documentary,2020-08-26,106,8.1,English,2020,August,106
13th,Documentary,2016-10-07,100,8.2,English,2016,October,100
Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107,8.2,English,2020,June,107
Klaus,Animation/Christmas/Comedy/Adventure,2019-11-15,97,8.2,English,2019,November,97
Seaspiracy,Documentary,2021-03-24,89,8.2,English,2021,March,89
The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109,8.2,Spanish,2020,October,109
Cuba and the Cameraman ,Documentary,2017-11-24,114,8.3,English,2017,November,114
Dancing with the Birds,Documentary,2019-10-23,51,8.3,English,2019,October,51
Ben Platt: Live from Radio City Music Hall,Concert Film,2020-05-20,85,8.4,English,2020,May,85
Taylor Swift: Reputation Stadium Tour,Concert Film,2018-12-31,125,8.4,English,2018,December,125
Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015-10-09,91,8.4,English/Ukranian/Russian,2015,October,91
Springsteen on Broadway,One-man show,2018-12-16,153,8.5,English,2018,December,153
Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89,8.6,Portuguese,2020,December,89
David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83,9.0,English,2020,October,83
